name,chart_template_id:id,id
Italia C Servizi,l10n_it_chart_template_generic,it
Regime Extra comunitario C Servizi,l10n_it_chart_template_generic,extra
Regime Intra comunitario C Servizi,l10n_it_chart_template_generic,intra
